"Start, Goal",Round,Path length (in steps),Time (in s),Memory (in KB),Nodes
"(12,5),(25,26)",R1,35,10.7,4,172
,R2,35,10.7,4.1,173
,R3,35,10.7,4.1,173
Average,,35,10.7,4,173
"(12,5),(33,16)",R1,33,10.1,3,127
,R2,33,10.1,3,127
,R3,33,10.1,3,127
Average,,33,10.1,3,127
"(12,5),(33,11)",R1,30,9.2,2.5,105
,R2,30,9.2,2.4,104
,R3,30,9.2,2.4,104
Average,,30,9.2,2.4,104
"(12,5),(29,25)",R1,38,11.6,5,215
,R2,38,11.6,5.1,216
,R3,38,11.6,5,214
Average,,38,11.6,5,215
"(12,5),(8,10)",R1,10,3.2,0.3,13
,R2,10,3.2,0.3,12
,R3,10,3.2,0.3,14
Average,,10,3.2,0.3,13
"(8,13),(25,26)",R1,31,9.5,2.6,113
,R2,31,9.5,2.6,113
,R3,31,9.5,2.6,113
Average,,31,9.5,2.6,113
"(8,13),(33,16)",R1,29,8.9,1.2,50
,R2,29,8.9,1.2,50
,R3,29,8.9,1.2,50
Average,,29,8.9,1.2,50
"(8,13),(33,11)",R1,28,8.6,1,44
,R2,28,8.6,1.1,48
,R3,28,8.6,1.1,48
Average,,28,8.6,1.1,48
"(8,13),(29,25)",R1,34,10.4,3.4,144
,R2,34,10.4,3.4,144
,R3,34,10.4,3.4,144
Average,,34,10.4,3.4,144
"(8,13),(8,10)",R1,4,1.4,0.1,3
,R2,4,1.4,0.1,3
,R3,4,1.4,0.1,3
Average,,4,1.4,0.1,3
"(35,2),(25,26)",R1,37,11.4,1.6,68
,R2,37,11.3,1.6,67
,R3,37,11.3,1.6,67
Average,,37,11.3,1.6,67
"(35,2),(33,16)",R1,35,10.7,2.3,97
,R2,35,10.7,2.3,97
,R3,35,10.7,2.3,97
Average,,35,10.7,2.3,97
"(35,2),(33,11)",R1,32,9.8,2.3,97
,R2,32,9.8,2.3,97
,R3,32,9.8,2.3,97
Average,,32,9.8,2.3,97
"(35,2),(29,25)",R1,40,12.2,3,129
,R2,40,12.2,3,129
,R3,40,12.2,3,129
Average,,40,12.2,3,129
"(35,2),(8,10)",R1,38,11.6,3.9,165
,R2,38,11.6,3.9,167
,R3,38,11.6,3.9,168
Average,,38,11.6,3.9,167
"(2,9),(25,26)",R1,47,14.3,1.9,82
,R2,47,14.3,1.9,82
,R3,47,14.3,1.9,82
Average,,47,14.3,1.9,82
"(2,9),(33,16)",R1,57,17.3,6.5,278
,R2,57,17.3,6.5,278
,R3,57,17.3,6.5,278
Average,,57,17.3,6.5,278
"(2,9),(33,11)",R1,54,16.4,5.8,248
,R2,54,16.4,5.8,248
,R3,54,16.4,5.8,248
Average,,54,16.4,5.8,248
"(2,9),(29,25)",R1,52,15.8,2.6,110
,R2,52,15.8,2.6,110
,R3,52,15.8,2.6,110
Average,,52,15.8,2.6,110
"(2,9),(8,10)",R1,26,8,1.1,46
,R2,26,8,1.1,46
,R3,26,8,1.1,46
Average,,26,8,1.1,46
"(22,13),(25,26)",R1,17,5.3,0.9,38
,R2,17,5.3,1,42
,R3,17,5.3,1,42
Average,,17,5.3,1,42
"(22,13),(33,16)",R1,15,4.7,0.6,26
,R2,15,4.7,0.4,18
,R3,15,4.7,0.6,26
Average,,15,4.7,0.6,26
"(22,13),(33,11)",R1,14,4.4,0.4,19
,R2,14,4.4,0.4,19
,R3,14,4.4,0.4,19
Average,,14,4.4,0.4,19
"(22,13),(29,25)",R1,20,6.2,1.8,77
,R2,20,6.2,1.6,69
,R3,20,6.2,1.8,77
Average,,20,6.2,1.8,77
"(22,13),(8,10)",R1,18,5.6,0.7,28
,R2,18,5.6,0.7,28
,R3,18,5.6,0.7,28
Average,,18,5.6,0.7,28
