"Start, Goal",Round,Path length (in steps),Time (in s),Memory (in KB),Nodes,Replans
"(12,5),(25,26)",R1,33,7.6,0.3,10,26
,R2,24,5.2,3.8,121,15
,R3,33,7.2,7.8,249,22
Average,,30,6.6,3.9,127,21
"(12,5),(33,16)",R1,22,8.2,2.3,74,28
,R2,22,7.3,0.7,23,26
,R3,23,5,2.4,76,15
Average,,22,6.8,1.8,58,23
"(12,5),(33,11)",R1,21,7.6,0.2,6,21
,R2,21,4.6,2.6,78,15
,R3,22,4.8,1.8,56,13
Average,,21,5.6,1.5,47,16
"(12,5),(29,25)",R1,25,5.4,3.8,121,15
,R2,25,6.6,16,511,23
,R3,25,5.4,3.6,116,19
Average,,25,5.8,7.8,249,19
"(12,5),(8,10)",R1,6,1.5,0.2,8,3
,R2,6,1.5,0.2,8,3
,R3,6,1.5,0.2,8,3
Average,,6,1.5,0.2,8,3
"(8,13),(25,26)",R1,24,5.2,4.7,151,19
,R2,26,5.7,9.2,293,18
,R3,25,5.5,4.8,152,18
Average,,25,5.4,6.2,199,18
"(8,13),(33,16)",R1,27,10.1,0.4,12,38
,R2,25,7.3,1.2,38,29
,R3,25,5.4,2,63,16
Average,,26,7.6,1.2,38,28
"(8,13),(33,11)",R1,25,5.7,0.3,11,19
,R2,25,7.9,0.3,10,29
,R3,25,5.4,1.8,57,14
Average,,25,6.3,0.8,26,21
"(8,13),(29,25)",R1,25,7.6,17.1,547,23
,R2,25,5.4,4.2,133,16
,R3,24,5.3,5.1,163,16
Average,,25,6.1,8.8,281,18
"(8,13),(8,10)",R1,3,1.4,0.1,4,1
,R2,3,0.9,0.1,4,1
,R3,3,0.9,0.1,4,1
Average,,3,1,0.1,4,1
"(35,2),(25,26)",R1,29,10.5,1.3,41,42
,R2,30,7,1,31,24
,R3,30,6.6,5.9,188,20
Average,,30,8,2.8,87,29
"(35,2),(33,16)",R1,24,17.3,0.2,5,71
,R2,25,10.6,0.1,2,37
,R3,24,6.8,16.9,548,21
Average,,24,11.5,5.7,185,43
"(35,2),(33,11)",R1,17,5.2,16.8,536,18
,R2,17,5.9,0.8,24,21
,R3,17,3.8,1.4,45,9
Average,,17,4.9,6.3,202,16
"(35,2),(29,25)",R1,29,9.3,16.8,536,35
,R2,29,6.4,5.9,189,22
,R3,28,6.1,5.7,183,17
Average,,29,7.2,9.4,303,25
"(35,2),(8,10)",R1,35,10,0.8,26,40
,R2,32,8.2,11.7,375,29
,R3,32,7,3.1,98,23
Average,,33,8.4,5.2,166,31
"(2,9),(25,26)",R1,49,21.2,14.8,473,86
,R2,48,13.3,1.1,35,52
,R3,49,10.7,13,417,41
Average,,49,15,9.6,308,60
"(2,9),(33,16)",R1,47,17.6,14.6,466,66
,R2,50,42.4,15.8,507,172
,R3,45,41.3,0.5,15,173
Average,,47,33.7,10.3,329,137
"(2,9),(33,11)",R1,44,25.9,2.6,82,106
,R2,41,18.7,0.5,15,76
,R3,41,13.4,0.2,7,51
Average,,42,19.3,1.1,35,78
"(2,9),(29,25)",R1,61,16.6,12.9,413,66
,R2,68,24.2,13.6,434,96
,R3,50,11,13.6,436,45
Average,,60,17.2,13.3,428,69
"(2,9),(8,10)",R1,28,14.8,14.2,456,54
,R2,23,48.5,14.4,468,198
,R3,26,7.9,1.2,38,28
Average,,26,23.7,9.9,320,93
"(22,13),(25,26)",R1,14,3.1,1.6,80,7
,R2,14,3.1,1.8,59,9
,R3,14,3.1,1.8,56,8
Average,,14,3.1,1.7,65,8
"(22,13),(33,16)",R1,11,3.9,13.7,439,10
,R2,11,5,0.2,6,12
,R3,11,3.6,0.6,20,8
Average,,11,4.1,4.8,155,10
"(22,13),(33,11)",R1,12,2.8,0.8,27,7
,R2,11,7.7,0.8,25,26
,R3,12,2.8,0.5,17,5
Average,,12,4.4,0.7,23,13
"(22,13),(29,25)",R1,15,5.3,1.3,41,19
,R2,14,3.2,1.8,58,5
,R3,13,3,1.7,53,5
Average,,14,3.8,1.6,51,10
"(22,13),(8,10)",R1,16,3.6,1,33,8
,R2,32,6.9,4.4,141,23
,R3,28,6.1,4.3,138,19
Average,,25,5.5,3.2,104,17
