"Start, Goal",Round,Path length (in steps),Time (in s),Memory (in KB),Nodes
"(12,5),(25,26)",R1,35,10.7,20.5,656
,R2,35,10.7,20.5,656
,R3,35,10.7,20.5,656
Average,,35,10.7,20.5,656
"(12,5),(33,16)",R1,33,10.4,20.5,656
,R2,33,10.4,20.5,656
,R3,33,10.5,20.5,656
Average,,33,10.4,20.5,656
"(12,5),(33,11)",R1,30,9.5,20.5,656
,R2,30,9.6,20.5,656
,R3,30,9.6,20.5,656
Average,,30,9.6,20.5,656
"(12,5),(29,25)",R1,38,11.9,20.5,656
,R2,38,12,20.5,656
,R3,38,11.9,20.5,656
Average,,38,11.9,20.5,656
"(12,5),(8,10)",R1,10,3.5,20.5,656
,R2,10,3.5,20.5,656
,R3,10,3.5,20.5,656
Average,,10,3.5,20.5,656
"(8,13),(25,26)",R1,31,9.8,20.5,656
,R2,31,9.9,20.5,656
,R3,31,9.8,20.5,656
Average,,31,9.8,20.5,656
"(8,13),(33,16)",R1,29,9.2,20.5,656
,R2,29,9.2,20.5,656
,R3,29,9.3,20.5,656
Average,,29,9.2,20.5,656
"(8,13),(33,11)",R1,28,8.6,20.5,656
,R2,28,8.6,20.5,656
,R3,28,8.6,20.5,656
Average,,28,8.6,20.5,656
"(8,13),(29,25)",R1,34,10.4,20.5,656
,R2,34,10.4,20.5,656
,R3,34,10.4,20.5,656
Average,,34,10.4,20.5,656
"(8,13),(8,10)",R1,4,1.4,20.5,656
,R2,4,1.4,20.5,656
,R3,4,1.4,20.5,656
Average,,4,1.4,20.5,656
"(35,2),(25,26)",R1,37,11.3,20.5,656
,R2,37,11.3,20.5,656
,R3,37,11.3,20.5,656
Average,,37,11.3,20.5,656
"(35,2),(33,16)",R1,35,10.7,20.5,656
,R2,35,10.7,20.5,656
,R3,35,10.7,20.5,656
Average,,35,10.7,20.5,656
"(35,2),(33,11)",R1,32,9.8,20.5,656
,R2,32,9.8,20.5,656
,R3,32,9.8,20.5,656
Average,,32,9.8,20.5,656
"(35,2),(29,25)",R1,40,12.2,20.5,656
,R2,40,12.2,20.5,656
,R3,40,12.2,20.5,656
Average,,40,12.2,20.5,656
"(35,2),(8,10)",R1,38,11.6,20.5,656
,R2,38,11.6,20.5,656
,R3,38,11.6,20.5,656
Average,,38,11.6,20.5,656
"(2,9),(25,26)",R1,47,14.3,20.5,656
,R2,47,14.3,20.5,656
,R3,47,14.3,20.5,656
Average,,47,14.3,20.5,656
"(2,9),(33,16)",R1,57,17.3,20.5,656
,R2,57,17.3,20.5,656
,R3,57,17.3,20.5,656
Average,,57,17.3,20.5,656
"(2,9),(33,11)",R1,54,16.4,20.5,656
,R2,54,16.4,20.5,656
,R3,54,16.4,20.5,656
Average,,54,16.4,20.5,656
"(2,9),(29,25)",R1,52,15.8,20.5,656
,R2,52,15.8,20.5,656
,R3,52,15.8,20.5,656
Average,,52,15.8,20.5,656
"(2,9),(8,10)",R1,26,8,20.5,656
,R2,26,8,20.5,656
,R3,26,8,20.5,656
Average,,26,8,20.5,656
"(22,13),(25,26)",R1,17,5.3,20.5,656
,R2,17,5.3,20.5,656
,R3,17,5.3,20.5,656
Average,,17,5.3,20.5,656
"(22,13),(33,16)",R1,15,4.7,20.5,656
,R2,15,4.7,20.5,656
,R3,15,4.7,20.5,656
Average,,15,4.7,20.5,656
"(22,13),(33,11)",R1,14,4.4,20.5,656
,R2,14,4.4,20.5,656
,R3,14,4.4,20.5,656
Average,,14,4.4,20.5,656
"(22,13),(29,25)",R1,20,6.2,20.5,656
,R2,20,6.2,20.5,656
,R3,20,6.2,20.5,656
Average,,20,6.2,20.5,656
"(22,13),(8,10)",R1,18,5.6,20.5,656
,R2,18,5.6,20.5,656
,R3,18,5.6,20.5,656
Average,,18,5.6,20.5,656
