"Start, Goal",Round,Path length (in steps),Time (in s),Memory (in KB),Nodes
"(12,5),(25,26)",R1,13,4.3,56.9,1821
,R2,13,4.3,52.3,1675
,R3,18,5.8,55.2,1765
Average,,15,4.8,54.8,1754
"(12,5),(33,16)",R1,15,4.9,55.8,1784
,R2,12,4,55.6,1780
,R3,16,5.2,55.8,1786
Average,,14,4.7,55.7,1783
"(12,5),(33,11)",R1,10,3.4,46.8,1497
,R2,9,3.1,56.9,1820
,R3,9,3.1,51.3,1643
Average,,9,3.2,51.6,1653
"(12,5),(29,25)",R1,10,3.4,56.8,1817
,R2,10,3.4,55.8,1787
,R3,9,3.1,55,1761
Average,,10,3.3,55.8,1788
"(12,5),(8,10)",R1,5,1.9,56.5,1809
,R2,4,1.6,55.2,1765
,R3,3,1.2,52.3,1675
Average,,4,1.6,54.6,1750
"(8,13),(25,26)",R1,15,4.9,55.5,1776
,R2,15,4.9,50.8,1627
,R3,11,3.6,55.5,1776
Average,,14,4.4,53.9,1726
"(8,13),(33,16)",R1,9,3.1,52.5,1680
,R2,11,3.7,54.7,1749
,R3,9,3.1,53.1,1700
Average,,10,3.3,53.4,1710
"(8,13),(33,11)",R1,10,3.4,50.4,1614
,R2,10,3.4,47.8,1530
,R3,10,3.4,53.7,1719
Average,,10,3.4,50.6,1621
"(8,13),(29,25)",R1,9,3.1,52.6,1682
,R2,9,3.1,53.8,1721
,R3,15,4.9,50.6,1619
Average,,11,3.7,52.3,1674
"(8,13),(8,10)",R1,3,1.3,55.2,1767
,R2,3,1.3,55.4,1772
,R3,3,1.3,52.2,1670
Average,,3,1.3,54.2,1736
"(35,2),(25,26)",R1,13,4.3,50,1626
,R2,15,4.9,51.4,1644
,R3,13,4.3,55.9,1790
Average,,14,4.5,52.4,1687
"(35,2),(33,16)",R1,11,3.7,46.4,1485
,R2,17,5.5,53.7,1719
,R3,11,3.7,45.9,1468
Average,,13,4.3,48.6,1557
"(35,2),(33,11)",R1,13,4.4,43.4,1390
,R2,13,4.3,40.7,1302
,R3,11,3.7,46,1472
Average,,12,4.1,43.3,1388
"(35,2),(29,25)",R1,11,3.7,52.6,1684
,R2,11,3.7,51.6,1652
,R3,20,6.4,53.4,1709
Average,,14,4.6,52.5,1682
"(35,2),(8,10)",R1,13,4.3,53.1,1699
,R2,11,3.7,53.4,1709
,R3,11,3.7,49.3,1577
Average,,12,3.9,51.9,1662
"(2,9),(25,26)",R1,18,5.8,54,1727
,R2,18,5.8,43.2,1384
,R3,16,5.2,43,1375
Average,,17,5.6,46.7,1495
"(2,9),(33,16)",R1,19,6.1,40.8,1307
,R2,19,6.1,53.1,1699
,R3,15,4.9,55.6,1779
Average,,18,5.7,49.8,1595
"(2,9),(33,11)",R1,13,4.3,45.2,1448
,R2,17,5.5,48,1535
,R3,18,5.8,41.1,1314
Average,,16,5.2,44.7,1432
"(2,9),(29,25)",R1,15,4.9,55.7,1782
,R2,24,7.6,54,1729
,R3,16,5.2,54.3,1737
Average,,18,5.9,54.6,1749
"(2,9),(8,10)",R1,3,1.3,54.4,1741
,R2,5,1.9,46.7,1493
,R3,3,1.3,41.2,1317
Average,,4,1.5,47.4,1517
"(22,13),(25,26)",R1,6,2.2,53.9,1725
,R2,6,2.2,54.9,1756
,R3,6,2.2,53.6,1716
Average,,6,2.2,54.1,1732
"(22,13),(33,16)",R1,6,2.2,44.3,1418
,R2,5,1.8,53.2,1701
,R3,5,1.9,54.6,1747
Average,,5,2,50.7,1622
"(22,13),(33,11)",R1,6,2.2,44.8,1434
,R2,5,1.9,52,1664
,R3,5,1.9,49.9,1597
Average,,5,2,48.9,1565
"(22,13),(29,25)",R1,5,1.9,58.4,1869
,R2,7,2.5,54,1727
,R3,7,2.5,53.2,1702
Average,,6,2.3,55.2,1766
"(22,13),(8,10)",R1,6,2.3,54,1729
,R2,7,2.3,55.1,1762
,R3,6,2,54,1728
Average,,6,2.2,54.3,1740
