"START,GOAL",Metrics,LADy static,RRT,A*,,,,,Path length comparison,,
"(12,5),(25,26)",Path length (in steps),35,15,35,,,,,LADy static,RRT,A*
,Time (in s),10.7,4.8,10.7,,,,"(12,5),(25,26)",35,15,35
,Memory (in KB),20.5,54.8,4,,,,"(12,5),(33,16)",33,14,33
,Nodes,656,1754,173,,,,"(12,5),(33,11)",30,9,30
"(12,5),(33,16)",Path length (in steps),33,14,33,,,,"(12,5),(29,25)",38,10,38
,Time (in s),10.4,4.7,10.1,,,,"(12,5),(8,10)",10,4,10
,Memory (in KB),20.5,55.7,3,,,,"(8,13),(25,26)",31,14,31
,Nodes,656,1783,127,,,,"(8,13),(33,16)",29,10,29
"(12,5),(33,11)",Path length (in steps),30,9,30,,,,"(8,13),(33,11)",28,10,28
,Time (in s),9.6,3.2,9.2,,,,"(8,13),(29,25)",34,11,34
,Memory (in KB),20.5,51.6,2.4,,,,"(8,13),(8,10)",4,3,4
,Nodes,656,1653,104,,,,"(35,2),(25,26)",37,14,37
"(12,5),(29,25)",Path length (in steps),38,10,38,,,,"(35,2),(33,16)",35,13,35
,Time (in s),11.9,3.3,11.6,,,,"(35,2),(33,11)",32,12,32
,Memory (in KB),20.5,55.8,5,,,,"(35,2),(29,25)",40,14,40
,Nodes,656,1788,215,,,,"(35,2),(8,10)",38,12,38
"(12,5),(8,10)",Path length (in steps),10,4,10,,,,"(2,9),(25,26)",47,17,47
,Time (in s),3.5,1.6,3.2,,,,"(2,9),(33,16)",57,18,57
,Memory (in KB),20.5,54.6,0.3,,,,"(2,9),(33,11)",54,16,54
,Nodes,656,1750,13,,,,"(2,9),(29,25)",52,18,52
"(8,13),(25,26)",Path length (in steps),31,14,31,,,,"(2,9),(8,10)",26,4,26
,Time (in s),9.8,4.4,9.5,,,,"(22,13),(25,26)",17,6,17
,Memory (in KB),20.5,53.9,2.6,,,,"(22,13),(33,16)",15,5,15
,Nodes,656,1726,113,,,,"(22,13),(33,11)",14,5,14
"(8,13),(33,16)",Path length (in steps),29,10,29,,,,"(22,13),(29,25)",20,6,20
,Time (in s),9.2,3.3,8.9,,,,"(22,13),(8,10)",18,6,18
,Memory (in KB),20.5,53.4,1.2,,,,,,,
,Nodes,656,1710,50,,,,,,,
"(8,13),(33,11)",Path length (in steps),28,10,28,,,,,,,
,Time (in s),8.6,3.4,8.6,,,,,,,
,Memory (in KB),20.5,50.6,1.1,,,,,Time comparison,,
,Nodes,656,1621,48,,,,,LADy static,RRT,A*
"(8,13),(29,25)",Path length (in steps),34,11,34,,,,"(12,5),(25,26)",10.7,4.8,10.7
,Time (in s),10.4,3.7,10.4,,,,"(12,5),(33,16)",10.4,4.7,10.1
,Memory (in KB),20.5,52.3,3.4,,,,"(12,5),(33,11)",9.6,3.2,9.2
,Nodes,656,1674,144,,,,"(12,5),(29,25)",11.9,3.3,11.6
"(8,13),(8,10)",Path length (in steps),4,3,4,,,,"(12,5),(8,10)",3.5,1.6,3.2
,Time (in s),1.4,1.3,1.4,,,,"(8,13),(25,26)",9.8,4.4,9.5
,Memory (in KB),20.5,54.2,0.1,,,,"(8,13),(33,16)",9.2,3.3,8.9
,Nodes,656,1736,3,,,,"(8,13),(33,11)",8.6,3.4,8.6
"(35,2),(25,26)",Path length (in steps),37,14,37,,,,"(8,13),(29,25)",10.4,3.7,10.4
,Time (in s),11.3,4.5,11.3,,,,"(8,13),(8,10)",1.4,1.3,1.4
,Memory (in KB),20.5,52.4,1.6,,,,"(35,2),(25,26)",11.3,4.5,11.3
,Nodes,656,1687,67,,,,"(35,2),(33,16)",10.7,4.3,10.7
"(35,2),(33,16)",Path length (in steps),35,13,35,,,,"(35,2),(33,11)",9.8,4.1,9.8
,Time (in s),10.7,4.3,10.7,,,,"(35,2),(29,25)",12.2,4.6,12.2
,Memory (in KB),20.5,48.6,2.3,,,,"(35,2),(8,10)",11.6,3.9,11.6
,Nodes,656,1557,97,,,,"(2,9),(25,26)",14.3,5.6,14.3
"(35,2),(33,11)",Path length (in steps),32,12,32,,,,"(2,9),(33,16)",17.3,5.7,17.3
,Time (in s),9.8,4.1,9.8,,,,"(2,9),(33,11)",16.4,5.2,16.4
,Memory (in KB),20.5,43.3,2.3,,,,"(2,9),(29,25)",15.8,5.9,15.8
,Nodes,656,1388,97,,,,"(2,9),(8,10)",8,1.5,8
"(35,2),(29,25)",Path length (in steps),40,14,40,,,,"(22,13),(25,26)",5.3,2.2,5.3
,Time (in s),12.2,4.6,12.2,,,,"(22,13),(33,16)",4.7,2,4.7
,Memory (in KB),20.5,52.5,3,,,,"(22,13),(33,11)",4.4,2,4.4
,Nodes,656,1682,129,,,,"(22,13),(29,25)",6.2,2.3,6.2
"(35,2),(8,10)",Path length (in steps),38,12,38,,,,"(22,13),(8,10)",5.6,2.2,5.6
,Time (in s),11.6,3.9,11.6,,,,,,,
,Memory (in KB),20.5,51.9,3.9,,,,,,,
,Nodes,656,1662,167,,,,,,,
"(2,9),(25,26)",Path length (in steps),47,17,47,,,,,,,
,Time (in s),14.3,5.6,14.3,,,,,Memory comparison,,
,Memory (in KB),20.5,46.7,1.9,,,,,LADy static,RRT,A*
,Nodes,656,1495,82,,,,"(12,5),(25,26)",20.5,54.8,4
"(2,9),(33,16)",Path length (in steps),57,18,57,,,,"(12,5),(33,16)",20.5,55.7,3
,Time (in s),17.3,5.7,17.3,,,,"(12,5),(33,11)",20.5,51.6,2.4
,Memory (in KB),20.5,49.8,6.5,,,,"(12,5),(29,25)",20.5,55.8,5
,Nodes,656,1595,278,,,,"(12,5),(8,10)",20.5,54.6,0.3
"(2,9),(33,11)",Path length (in steps),54,16,54,,,,"(8,13),(25,26)",20.5,53.9,2.6
,Time (in s),16.4,5.2,16.4,,,,"(8,13),(33,16)",20.5,53.4,1.2
,Memory (in KB),20.5,44.7,5.8,,,,"(8,13),(33,11)",20.5,50.6,1.1
,Nodes,656,1432,248,,,,"(8,13),(29,25)",20.5,52.3,3.4
"(2,9),(29,25)",Path length (in steps),52,18,52,,,,"(8,13),(8,10)",20.5,54.2,0.1
,Time (in s),15.8,5.9,15.8,,,,"(35,2),(25,26)",20.5,52.4,1.6
,Memory (in KB),20.5,54.6,2.6,,,,"(35,2),(33,16)",20.5,48.6,2.3
,Nodes,656,1749,110,,,,"(35,2),(33,11)",20.5,43.3,2.3
"(2,9),(8,10)",Path length (in steps),26,4,26,,,,"(35,2),(29,25)",20.5,52.5,3
,Time (in s),8,1.5,8,,,,"(35,2),(8,10)",20.5,51.9,3.9
,Memory (in KB),20.5,47.4,1.1,,,,"(2,9),(25,26)",20.5,46.7,1.9
,Nodes,656,1517,46,,,,"(2,9),(33,16)",20.5,49.8,6.5
"(22,13),(25,26)",Path length (in steps),17,6,17,,,,"(2,9),(33,11)",20.5,44.7,5.8
,Time (in s),5.3,2.2,5.3,,,,"(2,9),(29,25)",20.5,54.6,2.6
,Memory (in KB),20.5,54.1,1,,,,"(2,9),(8,10)",20.5,47.4,1.1
,Nodes,656,1732,42,,,,"(22,13),(25,26)",20.5,54.1,1
"(22,13),(33,16)",Path length (in steps),15,5,15,,,,"(22,13),(33,16)",20.5,50.7,0.6
,Time (in s),4.7,2,4.7,,,,"(22,13),(33,11)",20.5,48.9,0.4
,Memory (in KB),20.5,50.7,0.6,,,,"(22,13),(29,25)",20.5,55.2,1.8
,Nodes,656,1622,26,,,,"(22,13),(8,10)",20.5,54.3,0.7
"(22,13),(33,11)",Path length (in steps),14,5,14,,,,,,,
,Time (in s),4.4,2,4.4,,,,,,,
,Memory (in KB),20.5,48.9,0.4,,,,,,,
,Nodes,656,1565,19,,,,,,,
"(22,13),(29,25)",Path length (in steps),20,6,20,,,,,Nodes comparison,,
,Time (in s),6.2,2.3,6.2,,,,,LADy static,RRT,A*
,Memory (in KB),20.5,55.2,1.8,,,,"(12,5),(25,26)",656,1754,173
,Nodes,656,1766,77,,,,"(12,5),(33,16)",656,1783,127
"(22,13),(8,10)",Path length (in steps),18,6,18,,,,"(12,5),(33,11)",656,1653,104
,Time (in s),5.6,2.2,5.6,,,,"(12,5),(29,25)",656,1788,215
,Memory (in KB),20.5,54.3,0.7,,,,"(12,5),(8,10)",656,1750,13
,Nodes,656,1740,28,,,,"(8,13),(25,26)",656,1726,113
,,,,,,,,"(8,13),(33,16)",656,1710,50
,,,,,,,,"(8,13),(33,11)",656,1621,48
,,,,,,,,"(8,13),(29,25)",656,1674,144
,,,,,,,,"(8,13),(8,10)",656,1736,3
,,,,,,,,"(35,2),(25,26)",656,1687,67
,,,,,,,,"(35,2),(33,16)",656,1557,97
,,,,,,,,"(35,2),(33,11)",656,1388,97
,,,,,,,,"(35,2),(29,25)",656,1682,129
,,,,,,,,"(35,2),(8,10)",656,1662,167
,,,,,,,,"(2,9),(25,26)",656,1495,82
,,,,,,,,"(2,9),(33,16)",656,1595,278
,,,,,,,,"(2,9),(33,11)",656,1432,248
,,,,,,,,"(2,9),(29,25)",656,1749,110
,,,,,,,,"(2,9),(8,10)",656,1517,46
,,,,,,,,"(22,13),(25,26)",656,1732,42
,,,,,,,,"(22,13),(33,16)",656,1622,26
,,,,,,,,"(22,13),(33,11)",656,1565,19
,,,,,,,,"(22,13),(29,25)",656,1766,77
,,,,,,,,"(22,13),(8,10)",656,1740,28
