"Start, Goal",Round,Path length (in steps),Time (in s),Memory (in KB),Nodes,Replans
"(12,5),(25,26)",R1,35,7.3,37.5,656,0
,R2,35,7.3,37.5,656,1
,R3,42,8.8,37.5,656,0
Average,,37,7.8,37.5,656,0
"(12,5),(33,16)",R1,33,6.9,37.5,656,0
,R2,33,7,37.5,656,1
,R3,35,7.4,37.5,656,0
Average,,34,7.1,37.5,656,0
"(12,5),(33,11)",R1,29,6.1,37.5,656,1
,R2,30,6.4,37.5,656,0
,R3,31,6.5,37.5,656,0
Average,,30,6.3,37.5,656,0
"(12,5),(29,25)",R1,41,8.6,37.5,656,1
,R2,38,7.9,37.5,656,1
,R3,48,10,37.5,656,2
Average,,42,8.8,37.5,656,1
"(12,5),(8,10)",R1,10,2.3,37.5,656,0
,R2,10,2.3,37.5,656,0
,R3,27,5.7,37.5,656,0
Average,,16,3.4,37.5,656,0
"(8,13),(25,26)",R1,31,6.6,37.5,656,0
,R2,31,6.5,37.5,656,0
,R3,37,7.7,37.5,656,0
Average,,33,6.9,37.5,656,0
"(8,13),(33,16)",R1,29,6.1,37.5,656,0
,R2,31,6.5,37.5,656,1
,R3,30,6.3,37.5,656,0
Average,,30,6.3,37.5,656,0
"(8,13),(33,11)",R1,31,6.5,37.5,656,0
,R2,45,9.3,37.5,656,0
,R3,44,9.1,37.5,656,0
Average,,40,8.3,37.5,656,0
"(8,13),(29,25)",R1,34,7.2,37.5,656,1
,R2,38,8,37.5,656,1
,R3,39,8.1,37.5,656,2
Average,,37,7.7,37.5,656,1
"(8,13),(8,10)",R1,4,1.1,37.5,656,0
,R2,9,2.1,37.5,656,0
,R3,7,1.7,37.5,656,0
Average,,6,1.6,37.5,656,0
"(35,2),(25,26)",R1,46,9.6,37.5,656,0
,R2,39,8.1,37.5,656,0
,R3,49,10.2,37.5,656,0
Average,,45,9.3,37.5,656,0
"(35,2),(33,16)",R1,39,8.2,37.5,656,0
,R2,47,9.8,37.5,656,2
,R3,36,7.6,37.5,656,2
Average,,41,8.5,37.5,656,1
"(35,2),(33,11)",R1,34,7.1,37.5,656,0
,R2,39,8.1,37.5,656,1
,R3,32,6.7,37.5,656,1
Average,,35,7.3,37.5,656,1
"(35,2),(29,25)",R1,45,9.4,37.5,656,1
,R2,44,9.1,37.5,656,1
,R3,41,8.6,37.5,656,2
Average,,43,9,37.5,656,1
"(35,2),(8,10)",R1,38,8.4,37.5,656,0
,R2,35,7.7,37.5,656,1
,R3,37,8.2,37.5,656,0
Average,,37,8.1,37.5,656,0
"(2,9),(25,26)",R1,109,22.8,37.5,656,0
,R2,56,12.1,37.5,656,0
,R3,70,14.9,37.5,656,0
Average,,78,16.6,37.5,656,0
"(2,9),(33,16)",R1,65,13.9,37.5,656,0
,R2,56,12,37.5,656,0
,R3,59,12.6,37.5,656,1
Average,,60,12.8,37.5,656,0
"(2,9),(33,11)",R1,69,14.7,37.5,656,1
,R2,62,13.3,37.5,656,0
,R3,58,12.5,37.5,656,0
Average,,63,13.5,37.5,656,0
"(2,9),(29,25)",R1,54,11.6,37.5,656,0
,R2,57,12.2,37.5,656,0
,R3,55,11.9,37.5,656,0
Average,,55,11.9,37.5,656,0
"(2,9),(8,10)",R1,40,8.8,37.5,656,0
,R2,25,5.7,37.5,656,0
,R3,25,5.8,37.5,656,0
Average,,30,6.7,37.5,656,0
"(22,13),(25,26)",R1,14,3.5,37.5,656,1
,R2,16,3.9,37.5,656,1
,R3,15,3.7,37.5,656,0
Average,,15,3.7,37.5,656,1
"(22,13),(33,16)",R1,18,4.3,37.5,656,1
,R2,25,5.7,37.5,656,0
,R3,14,3.4,37.5,656,0
Average,,19,4.4,37.5,656,0
"(22,13),(33,11)",R1,13,3.3,37.5,656,0
,R2,19,4.5,37.5,656,1
,R3,13,3.3,37.5,656,0
Average,,15,3.7,37.5,656,0
"(22,13),(29,25)",R1,18,4.3,37.5,656,1
,R2,18,4.3,37.5,656,1
,R3,15,3.7,37.5,656,1
Average,,17,4.1,37.5,656,1
"(22,13),(8,10)",R1,17,4,37.5,656,0
,R2,17,4.1,37.5,656,0
,R3,17,4.1,37.5,656,0
Average,,17,4,37.5,656,0
